AGname type minEnergy maxEnergy nLines nSeqs
2DD8_S SuperHeroes -125.07 -119.16 0 0
2DD8_S Heroes -119.15 -114.83 0 0
2DD8_S Mascotte -114.82 -109.64 0 0
2DD8_S Loosers -109.63 -105.22 0 0
2DD8_S NonBinders -119.15 -114.83
1ADQ_A SuperHeroes -108.53 -102.63 732 571
1ADQ_A Heroes -102.62 -98.51 7014 5203
1ADQ_A Mascotte -98.5 -94.19 71859 43033
1ADQ_A Loosers -94.18 -90.03 350113 210328
1ADQ_A NonBinders -94.18 -52.71 500000 449968
1FBI_X SuperHeroes -110.91 -99.23 705 424
1FBI_X Heroes -99.22 -95.17 6422 3764
1FBI_X Mascotte -95.16 -89.99 65088 37113
1FBI_X Loosers -89.98 -85.74 307849 157588
1FBI_X NonBinders -89.98 -46.54 500000 450248
1FNS_A SuperHeroes -131.8 -123.33 731 612
1FNS_A Heroes -123.32 -118.36 6891 5705
1FNS_A Mascotte -118.35 -112.48 72739 52623
1FNS_A Loosers -112.47 -107.52 357050 234770
1FNS_A NonBinders -112.47 -62.23 500000 450613
1FSK_A SuperHeroes -97.69 -92.28 740 531
1FSK_A Heroes -92.27 -88.37 6642 5709
1FSK_A Mascotte -88.36 -83.83 67842 49858
1FSK_A Loosers -83.82 -79.45 321701 228792
1FSK_A NonBinders -83.82 -44.15 500000 449989
1H0D_C SuperHeroes -94.58 -88.95 727 562
1H0D_C Heroes -88.94 -86 6499 4884
1H0D_C Mascotte -85.99 -82.04 66862 47263
1H0D_C Loosers -82.03 -78.62 311930 191622
1H0D_C NonBinders -82.03 -45.77 500000 450065
1JPS_T SuperHeroes -128.2 -121.98 842 565
1JPS_T Heroes -121.97 -118.02 8534 4813
1JPS_T Mascotte -118.01 -112.51 99884 61108
1JPS_T Loosers -112.5 -107.5 502904 325263
1JPS_T NonBinders -112.5 -64.98 500000 449640
1KB5_AB SuperHeroes -128.46 -118.37 785 543
1KB5_AB Heroes -118.36 -114.43 7767 4785
1KB5_AB Mascotte -114.42 -109.21 91645 57013
1KB5_AB Loosers -109.2 -104.27 490162 312999
1KB5_AB NonBinders -109.2 -62.72 500000 450407
1NCB_N SuperHeroes -129.55 -124.71 704 166
1NCB_N Heroes -124.7 -119.46 6262 2221
1NCB_N Mascotte -119.45 -113.37 63969 27073
1NCB_N Loosers -113.36 -108.59 295649 128112
1NCB_N NonBinders -113.36 -63.4 500000 451360
1NSN_S SuperHeroes -107.16 -99.09 730 453
1NSN_S Heroes -99.08 -94.85 6638 4309
1NSN_S Mascotte -94.84 -89.99 70758 44895
1NSN_S Loosers -89.98 -85.46 346022 218532
1NSN_S NonBinders -89.98 -48.73 500000 449086
1OAZ_A SuperHeroes -119.75 -112.85 835 300
1OAZ_A Heroes -112.83 -108.42 8161 4430
1OAZ_A Mascotte -108.41 -103.2 87253 51376
1OAZ_A Loosers -103.19 -98.6 426330 260325
1OAZ_A NonBinders -103.19 -57.58 500000 450652
1OB1_C SuperHeroes -108.78 -101.56 743 582
1OB1_C Heroes -101.54 -97.45 6804 5200
1OB1_C Mascotte -97.44 -92.52 70831 51072
1OB1_C Loosers -92.51 -88.07 350526 236601
1OB1_C NonBinders -92.51 -46.64 500000 450595
1OSP_O SuperHeroes -116.26 -110.93 743 246
1OSP_O Heroes -110.92 -108.03 6808 1705
1OSP_O Mascotte -108.02 -102.11 75624 38466
1OSP_O Loosers -102.1 -97.2 377067 218901
1OSP_O NonBinders -102.1 -53.14 500000 448526
1PKQ_J SuperHeroes -112.48 -107.31 722 272
1PKQ_J Heroes -107.3 -101.89 6592 3439
1PKQ_J Mascotte -101.88 -96.51 70248 39704
1PKQ_J Loosers -96.5 -91.96 339841 194888
1PKQ_J NonBinders -96.5 -47.53 500000 450830
1QFW_AB SuperHeroes -113.16 -105.39 1041 784
1QFW_AB Heroes -105.385 -101.08 11180 8023
1QFW_AB Mascotte -101.075 -95.39 122860 88811
1QFW_AB Loosers -95.385 -90.89 568580 373092
1QFW_AB NonBinders -95.38 -53.68 500000 446372
1RJL_C SuperHeroes -99.96 -93.95 740 383
1RJL_C Heroes -93.94 -91.02 6479 2464
1RJL_C Mascotte -91.01 -86.76 66889 25639
1RJL_C Loosers -86.75 -82.63 310388 154099
1RJL_C NonBinders -86.75 -46.22 500000 450815
1S78_B SuperHeroes -136.93 -128.62 702 465
1S78_B Heroes -128.6 -123.31 7452 4991
1S78_B Mascotte -123.3 -117.33 86359 59941
1S78_B Loosers -117.32 -112.04 470938 315397
1S78_B NonBinders -117.32 -64.16 500000 450501
1TQB_A SuperHeroes -122.52 -115.08 772 574
1TQB_A Heroes -115.07 -111.39 7477 4304
1TQB_A Mascotte -111.38 -106.71 77846 42286
1TQB_A Loosers -106.7 -102.29 383550 214215
1TQB_A NonBinders -106.7 -55.22 500000 450439
1WEJ_F SuperHeroes -86.03 -79.15 728 613
1WEJ_F Heroes -79.14 -76.56 6658 4764
