iter	RMSEWithUncertainty
0	1.179283689
1	1.0872441
2	1.037338865
3	0.9636688499
4	0.923891681
5	0.8762318061
6	0.8066875637
7	0.7612644496
8	0.7024318358
9	0.6525736765
10	0.5884467644
11	0.5564745074
12	0.5142821318
13	0.4474673244
14	0.4016373998
15	0.3666050417
16	0.3140120948
17	0.2727749261
18	0.2161548608
19	0.1615853344
20	0.1257273388
21	0.07706338213
22	0.04817401401
23	0.008719769088
24	-0.03070403501
25	-0.07444944527
26	-0.1128282565
27	-0.1476647142
28	-0.1807114896
29	-0.2321660761
30	-0.2767625599
31	-0.3252531259
32	-0.3541043523
33	-0.3841948183
34	-0.4302908195
35	-0.4749909803
36	-0.5182395605
37	-0.5533186449
38	-0.5752903031
39	-0.6152426672
40	-0.6468198434
41	-0.6639011246
42	-0.697951499
43	-0.7307059096
44	-0.75482431
45	-0.7777076435
46	-0.7998021379
47	-0.8041697948
48	-0.8258886061
49	-0.8283494271
50	-0.8506682262
51	-0.8517201355
52	-0.8819942319
53	-0.9028280291
54	-0.9225345258
55	-0.9496401082
56	-0.9670909481
57	-0.9647668341
58	-0.9909283993
59	-1.007079127
60	-1.030638458
61	-1.026206943
62	-1.020608804
63	-1.045614922
64	-1.038915138
65	-1.063466305
66	-1.055650716
67	-1.079422428
68	-1.070427463
69	-1.093064902
70	-1.082803828
71	-1.10395071
72	-1.09234547
73	-1.111683018
74	-1.098701792
75	-1.115995976
76	-1.101690202
77	-1.116837023
78	-1.10136524
79	-1.114417642
80	-1.098042554
81	-1.109204585
82	-1.092258431
83	-1.101844871
84	-1.103002283
85	-1.085584157
86	-1.094936942
87	-1.097252694
88	-1.10700754
89	-1.089180723
90	-1.097582319
91	-1.080006013
92	-1.087463214
93	-1.090678679
94	-1.073157245
95	-1.056250973
96	-1.040086975
97	-1.024739697
98	-1.010242593
99	-0.9965987849
