iter	Passed	Remaining
0	0	94
1	1	69
2	2	77
3	3	72
4	3	73
5	4	71
6	5	72
7	6	70
8	6	66
9	7	65
10	7	62
11	8	63
12	9	65
13	10	65
14	11	63
15	11	62
16	12	60
17	12	59
18	13	57
19	13	55
20	14	54
21	14	52
22	15	52
23	16	50
24	16	49
25	16	47
26	17	46
27	17	44
28	17	43
29	18	42
30	18	40
31	18	39
32	19	38
33	19	37
34	19	36
35	20	35
36	20	34
37	20	33
38	21	33
39	21	32
40	21	31
41	22	30
42	22	29
43	22	28
44	22	27
45	23	27
46	23	26
47	25	27
48	25	26
49	26	26
50	27	26
51	28	26
52	28	25
53	28	24
54	29	23
55	29	23
56	29	22
57	30	22
58	31	21
59	31	21
60	31	20
61	32	20
62	34	20
63	34	19
64	35	19
65	35	18
66	36	18
67	37	17
68	38	17
69	38	16
70	39	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	44	13
77	44	12
78	45	12
79	45	11
80	47	11
81	47	10
82	48	10
83	49	9
84	49	8
85	50	8
86	51	7
87	51	7
88	51	6
89	52	5
90	53	5
91	54	4
92	54	4
93	55	3
94	56	2
95	57	2
96	58	1
97	59	1
98	61	0
99	62	0
